vehicle,generation,ecu,role,diag_addr,did,service,service_type,job_arg,description_en,description_de,n_result_fields,n_arg_fields,single_result_type,single_result_unit,sources,only_in_2012_sgbd
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF6D,22,read,HV_BATT_HIST_SOC_T7_2,Duration at 40 ° C less than temperature and with different values of current and SOC - part 2,Dauer bei 40 °C kleiner als Temperatur und bei unterschiedlichen Werten von Strom und SOC - Teil 2,30,0,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF6E,22,read,HV_BATT_HIST_SOC_T6_2,Duration at 32.5 ° C less than temperature less than 40 ° C and with different values of current and SOC - part 2,"Dauer bei 32,5°C kleiner als Temperatur kleiner als 40 °C und bei unterschiedlichen Werten von Strom und SOC - Teil 2",30,0,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF6F,22,read,HIS_ERR_LIM_STROM,Time in minutes in different current error limit classes separately for charging and discharging over all temperatures,Zeit in Minuten in verschiedenen Stromfehlergrenzenklassen getrennt für Laden und Entladen über alle Temperaturen,6,0,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF70,22,read,HIS_EFF_STROM,Time in minutes in different effective current value classes separately for charging and discharging,Zeit in Minuten in verschiedenen effektiven Stromwertklassen getrennt für Laden und Entladen,12,0,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF71,22,read,PROJEKT_PARAMETER,Reading out the project-specific parameters,Auslesen der projektspezifischen Parametern,4,0,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF72,22,read,KURZSCHLUESSE,Number of short circuits that occurred,Anzahl der vorgekommenen Kurschlüsse,1,0,unsigned char,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF73,22,read,HEIZUNG_VERBAUT,Status heating installed (0 = no / 1 = yes),Status Heizung verbaut (0=nein/ 1=ja),1,0,unsigned char,0/1,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF74,22,read,VOKO_HEIZ_DAUER,Number of preconditioning heating cycles,Anzahl der Vorkonditionierungs-Heizdauervorgängen,7,0,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF75,22,read,LADE_KOND_HEIZ_DAUER,Number of heating conditioning processes during charging,Anzahl der Heizkonditionierungsvorgängen beim Laden,7,0,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF76,22,read,VOKO_KUEHL_DAUER,Number of pre-conditioning cooling cycles,Anzahl der Vorkonditionierungs-Kühldauervorgängen,7,0,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF77,22,read,LADE_DAUER,Number of charging processes in charging duration classes,Anzahl der Ladevorgänge in Ladedauerklassen,7,0,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF78,2E,write,RESET_HIS_TEMP_MOD,Reset the temperature histogram of the selected module,Zurücksetzen des Temperaturhistogramms von den ausgewählten Modul,0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF79,2E,write,RESET_HIS_ERR_LIM_SPANNUNG_MOD,Reset the voltage error limit histogram of the selected module,Zurücksetzen des Spannungsfehlergrenzenhistogramms von den ausgewählten Modul,0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF7A,2E,write,RESET_HIS_SPANNUNG_MOD,Reset the voltage histogram of the selected module,Zurücksetzen des Spannungshistogramms von den ausgewählten Modul,0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF7B,2E,write,RESET_ISOLATIONSMESSWERTE,Resetting the insulation resistance readings,Zurücksetzen der Isolationswiderstandsmesswerte,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF7C,2E,write,ENTLADESPANNUNGSGRENZE_UNTEN,Set the discharge voltage limit down to enable connection in the event of cell undervoltage,Entladespannungsgrenze runter setzen um bei Zellunterspannungen Zuschaltung zu ermöglichen,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF7D,2E,write,RESET_ZELLKAPAZITAETEN,Resetting the stored single cell capacities,Zurücksetzen der gespeicherten Einzelzellkapazitäten,0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF7E,2E,write,RESET_ZELL_DSOCS,Job has not been requested for SME_03 since I001_14-03-490 and has been replaced by STEUERN_SOC_REKALIBRIERUNG Resetting the stored Delta SOCs,Job ist für SME_03 seit I001_14-03-490 nicht angefordert und wurde ersetzt durch STEUERN_SOC_REKALIBRIERUNG  Zurücksetzen der gespeicherten Delta SOCs,0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF7F,2E,write,ZELLKAPAZITAETEN,Setting the capacity of module x or all modules to a certain value,Setzen der Kapazität von Modul x bzw. aller Module auf einem bestimmten Wert,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF80,2E,write,SERIENNUMMER_SCHREIBEN,Writing the HV storage serial number,Schreiben der HV-Speicher Seriennummer,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF81,22,read,HIS_SOC_WARN_GRENZEN,Operating time in minutes in the lower and upper SOC warning limits,Betriebszeit in Minuten in unteren und oberen SOC-Warngrenzen,9,0,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF83,22,read,ID_SBOX,Reading out the identification parameters of the SBOX,Auslesen Identifiationsparameter der SBOX,5,0,,,"sme_i1.prg (OVMS dump, GPL-3.0) | sme_i1.prg rev 0.911 (2012)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF84,2E,write,PUFFER_ZELLSPANNUNGEN,Holding the cell voltage for a time step,Festhalten der Zellspannugen für einen Zeitschritt,0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF86,22,read,SOC_HISTORIE,Reading out the SOC history data,Auslesen der SOC-Historie Daten,13,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF87,2E,write,ZELLPACK_IDS_ZUORDNEN,Assign indices / installation position of the individual cell packs,Indizes/Verbauposition der einzelnen Zellpacks vergeben,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF88,2E,write,ZELLPACK_IDS_UEBERNEHMEN,Transfer indices / installation position of the individual cell packs in SME,Indizes/Verbauposition der einzelnen Zellpacks in SME übernehmen,0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF89,22,read,KL30C,"Reading out the logical status of the KL30C> not for I01 and I12, use STATUS_KL30C_SPANNUNG here","Auslesen des logischen Status der KL30C > nicht für I01 und I12, hier STATUS_KL30C_SPANNUNG verwenden",1,0,unsigned char,0-n,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF8A,22,read,HIS_EFF_STROM_TMIN,At T <-10: time in minutes in different percentage value classes for the ratio of effective current to current limit separately for charging and discharging (SBL),Bei T < -10: Zeit in Minuten in verschiedenen Prozentwertklassen für das Verhältnis effektiver Strom zu Stromgrenze getrennt für Laden und Entladen (SBL),12,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF8B,22,read,HIS_EFF_STROM_TLOW,At -10 <= T <5: time in minutes in various percentage value classes for the ratio of effective current to current limit separately for charging and discharging (SBL),Bei -10 <= T < 5: Zeit in Minuten in verschiedenen Prozentwertklassen für das Verhältnis effektiver Strom zu Stromgrenze getrennt für Laden und Entladen (SBL),12,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF8C,22,read,HIS_EFF_STROM_TMID,At 5 <= T <25 (40 SP01): Time in minutes in various percentage value classes for the ratio of effective current to current limit separately for charging and discharging (SBL),Bei 5 <= T < 25 (40 SP01): Zeit in Minuten in verschiedenen Prozentwertklassen für das Verhältnis effektiver Strom zu Stromgrenze getrennt für Laden und Entladen (SBL),12,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF8D,22,read,HIS_EFF_STROM_THIGH,ONLY SE03 !!! At 25 <= T <40: Time in minutes in different percentage classes for the ratio of effective current to current limit separately for charging and discharging (SBL),NUR SE03!!! Bei 25 <= T < 40: Zeit in Minuten in verschiedenen Prozentwertklassen für das Verhältnis effektiver Strom zu Stromgrenze getrennt für Laden und Entladen (SBL),12,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF8E,22,read,HIS_EFF_STROM_TMAX,At 40 <= T: time in minutes in various percentage value classes for the ratio of effective current to current limit separately for charging and discharging (SBL),Bei 40 <= T: Zeit in Minuten in verschiedenen Prozentwertklassen für das Verhältnis effektiver Strom zu Stromgrenze getrennt für Laden und Entladen (SBL),12,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF8F,22,read,HIS_ERR_LIM_STROM_TMIN,At T <= -10: time in minutes in different current error limit classes separately for charging and discharging,Bei T <= -10: Zeit in Minuten in verschiedenen Stromfehlergrenzenklassen getrennt für Laden und Entladen,6,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF90,22,read,HIS_ERR_LIM_STROM_TLOW,At -10 <T <= 5: time in minutes in different current error limit classes separately for charging and discharging,Bei -10 < T <= 5: Zeit in Minuten in verschiedenen Stromfehlergrenzenklassen getrennt für Laden und Entladen,6,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF91,22,read,HIS_ERR_LIM_STROM_THIGH,If 5 <T <= 25: time in minutes in different current error limit classes separately for charging and discharging,Bei 5 < T <= 25: Zeit in Minuten in verschiedenen Stromfehlergrenzenklassen getrennt für Laden und Entladen,6,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF92,22,read,HIS_ERR_LIM_STROM_TMAX,At 25 <T: time in minutes in different current error limit classes separately for charging and discharging,Bei 25 < T: Zeit in Minuten in verschiedenen Stromfehlergrenzenklassen getrennt für Laden und Entladen,6,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF93,2E,write,RESET_ALTERUNG_INNENWIDERSTAND,Reset job is no longer relevant. Internal resistance is automatically adjusted when the module is replaced.,Resetjob ist nicht mehr relevant. Innenwiderstand wird bei Modultausch automatisch angepasst.,0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF94,2E,write,RESET_ALTERUNG_KAPAZITAET_HIST_SOC_HUB,Resetting the histogram that is read out with the job: STATUS_ALTERUNG_KAPAZITAET_HISTOGRAMM_SOC_HUB >> to be carried out when replacing modules,"Zurücksetzen des Histogramms, das ausgelesen wird mit dem Job:  STATUS_ALTERUNG_KAPAZITAET_HISTOGRAMM_SOC_HUB >> auszuführen bei Modultausch",0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF95,2E,write,RESET_BETRIEBSSTUNDEN_HVS,"Resetting the histogram that is read out with the job: STATUS_BETRIEBSSTUNDEN_SME (I01) STATUS_BETRIEBSSTUNDEN_HVS (future projects) >> Attention: for all SME functions, the entire HVS appears as absolutely NEW with this reset. Resetting is therefore only recommended when replacing many or all modules!","Zurücksetzen des Histogramms, das ausgelesen wird mit dem Job:  STATUS_BETRIEBSSTUNDEN_SME (I01) STATUS_BETRIEBSSTUNDEN_HVS (zukünftige Projekte) >> Achtung: für alle SME-Funktionen erscheint der gesamte HVS mit diesem Zurücksetzen als absolut NEU. Zurücksetzen ist also nur zu empfehlen bei Tausch von vielen bis allen Modulen!",0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF96,2E,write,RESET_ANZAHL_KUEHLANFORDERUNG_DRINGEND,Resetting the histogram that is read out with the job: STATUS_ANZAHL_KUEHLANFORDERUNG_DRINGEND >> to be carried out when replacing modules,"Zurücksetzen des Histogramms, das ausgelesen wird mit dem Job: STATUS_ANZAHL_KUEHLANFORDERUNG_DRINGEND >> auszuführen bei Modultausch",0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF97,2E,write,RESET_CUMULATIVE_ENT_LADUNG,Resetting the histogram that is read out with the job: STATUS_CUMULATIVE_ENTLADUNG STATUS_CUMULATIVE_LADUNG >> to be carried out when replacing modules,"Zurücksetzen des Histogramms, das ausgelesen wird mit dem Job: STATUS_CUMULATIVE_ENTLADUNG STATUS_CUMULATIVE_LADUNG >> auszuführen bei Modultausch",0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF98,2E,write,RESET_HIS_EFF_ERR_LIM_STROM_ALL,Resetting the histogram that is read out with the job: STATUS_HIS_EFF_STROM_Txxxx STATUS_HIS_ERR_LIM_STROM_Txxxx >> to be carried out when replacing modules,"Zurücksetzen des Histogramms, das ausgelesen wird mit dem Jobs: STATUS_HIS_EFF_STROM_Txxxx STATUS_HIS_ERR_LIM_STROM_Txxxx >> auszuführen bei Modultausch",0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF99,2E,write,RESET_HIS_SOC_WARN_GRENZEN,Resetting the histogram that is read out with the job: STATUS_HIS_SOC_WARN_GRENZEN >> to be carried out when replacing modules,"Zurücksetzen des Histogramms, das ausgelesen wird mit dem Job: STATUS_HIS_SOC_WARN_GRENZEN >> auszuführen bei Modultausch",0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF9A,2E,write,RESET_ZEIT_SOC_KLASSE,Resetting the histogram that is read out with the job: STATUS_ZEIT_SOC_KLASSE >> to be carried out when replacing a module,"Zurücksetzen des Histogramms, das ausgelesen wird mit dem Job: STATUS_ZEIT_SOC_KLASSE >> auszuführen bei Modultausch",0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF9B,2E,write,RESET_ZEIT_TEMP_HISTOGRAMM,Resetting the histogram that is read out with the job: STATUS_ZEIT_TEMP_HISTOGRAMM >> to be carried out when replacing modules,"Zurücksetzen des Histogramms, das ausgelesen wird mit dem Job: STATUS_ZEIT_TEMP_HISTOGRAMM >> auszuführen bei Modultausch",0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF9C,22,read,LADEZEIT_ADAPT_KENNFELD_LESEN,Reading out the map of learning factors to correct the charging time prognosis raw value,Auslesen des Kennfeldes von Lernfaktoren zur Korrektur des Ladezeitprognose-Rohwerts,51,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF9D,2E,write,RESET_LADEZEIT_ADAPT_KENNFELD,Resetting to the initial value of the map of learning factors to correct the charging time forecast raw value. >> to be carried out when replacing a module Info: Readout of the reset initial values possible by subsequently carrying out LADEZEIT_ADAPT_KENNFELD_LESEN.,Zurücksetzen auf den Initialwert des Kennfelds von Lernfaktoren zur Korrektur des Ladezeitprognose-Rohwerts. >> auszuführen bei Modultausch Info: Auslesen der Reset-Initialwerte durch anschließendes Ausführen von LADEZEIT_ADAPT_KENNFELD_LESEN möglich.,0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF9E,22,read,VERH_VOLLADE_LADEVORG_LESEN,Percentage of the ratio of full charges to total charges,Prozentualer Wert vom Verhältnis der Volladevorgänge zu den gesamten Ladevorgängen,1,0,unsigned char,%,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDF9F,2E,write,RESET_VERH_VOLLADE_LADEVORG,Resetting the histogram that is read out with the job: STATUS_VERH_VOLLADE_LADEVORG >> to be carried out when replacing modules,"Zurücksetzen des Histogramms, das ausgelesen wird mit dem Job: STATUS_VERH_VOLLADE_LADEVORG >> auszuführen bei Modultausch",0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDFA0,22,read,ZUSTAND_SPEICHER,"Output of central storage quantities as max., Min. And mean values","Ausgabe von zentralen Speicherzudstandsgrößen als Max.-, Min.- und Mittelwert",19,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDFA1,22,read,HIS_ERR_LIM_SPANNUNG,"Output of the maximum dwell time in voltage error limit classes across all modules in minutes. At temperatures <-10 ° C, the voltage error limit changes depending on the temperature.",Ausgabe der maximalen Verweildauer in Spannungsfehlergrenzenklassen über alle Module in Minuten. Bei Temperaturen < -10°C verändert sich die Spannungsfehlergrenze temperaturabhängig.,6,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDFAE,22,read,HIS_SOC_MAX_MIN,Job has not been requested for SME_03 since I001_14-03-490 and is therefore not implemented from now on. Output of the minimum and maximum MIN nominal SoC that occurs over the life of the vehicle.,"Job ist für SME_03 seit I001_14-03-490 nicht angefordert und somit fortan nicht implementiert.   Ausgabe des minimalen und maximalen MIN-Nenn-SoC, der über Fahrzeuglebensdauer auftritt.",2,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDFAF,2E,write,RESET_HIS_SOC_MAX_MIN,Job has not been requested for SME_03 since I001_14-03-490 and is therefore not implemented from now on. Resetting to the initial value of the minimum (= 255) and maximum (= 0) MIN nominal SoC that occurs over the life of the vehicle. Effect on the return of STATUS_HIS_SOC_MAX_MIN,"Job ist für SME_03 seit I001_14-03-490 nicht angefordert und somit fortan nicht implementiert.   Zurücksetzen auf Initialwert des minimalen (=255) und maximalen (=0) MIN-Nenn-SoC, der über Fahrzeuglebensdauer auftritt. Auswirkung auf Rückgabe von STATUS_HIS_SOC_MAX_MIN",0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDFC9,2E;22,read/write,LPA_HVS_LD_INT,Setting the new HVS self-protection current integral value / reading the current HVS self-protection current integral value and returning the project-specific current and current integral limits,Setzen des neuen HVS-Eigenschutz-Stromintegralwertes / Lesen des aktuellen HVS-Eigenschutz-Stromintegralwertes und Rückgabe der projekspezifischen Strom- und Stromintegralgrenzen,4,2,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDFE1,22,read,STATUS_HV_SPEICHER_ID,Reading out the storage identification number of the HV storage,Auslesen der Speicheridentifikationsnummer des HV-Speichers,2,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xDFE2,22,read,SYMMETRIERBAND,Information about the last successful balancing process and the last no-load SoCs,Informationen zum letzten erfolgreichen Symmetriervorgang und den letzten Ruhespannungs-SoCs,8,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xE4E1,2E,write,RESET_KUEHLERBRUCH,Reset of the effects of a detected cooler breakage after a service measure,Reset der Auswirkungen eines erkannten Kühlerbruchs nach Servicemaßnahme,0,1,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xE50D,22,read,GW_INFO_SCHNELLLADEN,Provides warranty-relevant information on the share of fast charging in the total energy throughput of the storage facility at different temperatures.,Liefert gewährleistungsrelevante Informationen zum Anteil des Schnellladens am Gesamtenergiedurchsatz des Speichers bei verschiedenen Temperaturen.,5,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xE540,22,read,CODIERVARIABLEN_HV_SPEICHER,Reads out all coding variables with manipulation potential,Liest alle Codiervariablen mit Manipulationspotential aus,4,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xE5EC,2E;22,read/write,SOH_OFFSET,Correction variables with which the functions for capacity aging are corrected during operation.,"Korrekturgrößen, mit denen die Funktionen zur Kapazitätsalterung im Betrieb  korrgiert werden.",2,2,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xE5EF,2E,write,ANZAHL_DEFEKTE_SICHERUNG_RESET,Resets the number of defective fuses since all modules were last replaced,Setzt die Anzahl der defekten Sicherungen seit dem letzten Tausch aller Module zurück,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xE5F0,2E,write,ANZAHL_DEFEKTE_SICHERUNG_INKREMENT,Increments the number of defective fuses since all modules were last replaced,Inkrementiert die Anzahl der defekten Sicherungen seit dem letzten Tausch aller Module,0,2,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xE5F1,22,read,ANZAHL_DEFEKTE_SICHERUNG,Number of defective fuses since all modules were last replaced,Anzahl der defekten Sicherungen seit dem letzten Tausch aller Module,1,0,unsigned char,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xE5F2,22,read,HVOFF_VOLTAGES,"Status job to analyze the voltage drop after parking the vehicle. In connection with the cell indices and status signals of the symmetry requirement, this enables a collection of indices for defective or particularly weak cells in the module network.",Statusjob zur Analyse der Spannungsabsenkung nach Abstellen des Fahrzeugs. Diese ermöglicht im Zusammenhang mit den Zellindizes und Statussignalen des Symmetrierbedarfs eine Indizsammlung für defekte bzw. besonders schwache Zellen im Modulverbund.,83,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xE5F3,22,read,RB_SOH_KAPATEST_ERW,Extension of the return of the results of the last 3 HVS offboard capacity tests (ring memory),Erweiterung der Rückgabe der Ergebnisse der letzten 3 HVS-Offboard-Kapatests (Ringspeicher),27,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
BMW i3 / i3s (I01),Gen3 BEV (2013-2022),SME,HV battery management,0x07,0xE5F4,22,read,CPI_ANALYSE,Returns a data packet with the most critical relative temperature deviation since the last reset (drag pointer). A data package contains the relevant measured values for data entry for the CPI diagnosis.,Gibt ein Datenpaket mit der kritischsten relativen Temperaturabweichung seit dem letzten Reset zurück (Schleppzeiger). Ein Datenpaket enthält für die Bedatung der CPI-Diagnose relevante Messwerte.,10,0,,,"sme_i1.prg (OVMS dump, GPL-3.0)",
